Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear
2018-01-01,Jour de l'an,New Year's Day,FR,True,True,1967
2018-03-30,Vendredi saint,Good Friday,FR,False,False,
2018-04-02,Lundi de Pâques,Easter Monday,FR,False,True,1642
2018-05-01,Fête du premier mai,Labour Day,FR,True,True,
2018-05-08,Fête de la Victoire,Victory in Europe Day,FR,True,True,
2018-05-10,Jour de l'Ascension,Ascension Day,FR,False,True,
2018-05-21,Lundi de Pentecôte,Whit Monday,FR,False,True,
2018-05-22,Abolition de l'esclavage,Abolition of Slavery,FR,True,False,
2018-05-27,Abolition of Slavery,Abolition de l'esclavage,FR,True,False,
2018-07-14,Fête nationale,Bastille Day,FR,True,True,
2018-08-15,L'Assomption de Marie,Assumption Day,FR,True,True,
2018-11-01,La Toussaint,All Saints' Day,FR,True,True,
2018-11-11,Armistice de 1918,Armistice Day,FR,True,True,
2018-12-25,Noël,Christmas Day,FR,True,True,
2018-12-26,Saint-Étienne,St. Stephen's Day,FR,True,False,
